Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
17,0.0,0.0,0.0,932.0,17.0,41.0,932.0,0.1,1.4,0.0,0.0,88.89675617218018,,,,,,,,,,,,,,,,,,,,,1.508173661344177,0.38478180128826023,2.2148350542951105,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,959.0,18.0,27.0,959.0,0.1,2.8,0.0,0.0,91.90027904510498,,,,,,,,,,,,,,,,,,,,,1.5890821662949537,0.8009192941952615,2.865482736135718,0.24964999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1056.0,19.0,97.0,1056.0,0.1,-0.6000000000000015,0.0,0.0,102.00731134414673,,,,,,,,,,,,,,,,,,,,,0.08446026912441282,0.6450086279198184,1.4886852436593885,-1.2653980584104476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1088.0,20.0,32.0,1088.0,0.1,0.050000000000000155,0.0,0.0,105.52759742736816,,,,,,,,,,,,,,,,,,,,,0.5365723281138077,0.2907253835583362,1.0953604382073474,0.032862548048406215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,29.0,1.0,29.0,1117.0,0.1,0.7999999999999997,0.0,0.0,280.48739671707153,,,,,,,,,,,,,,,,,,,,,0.3176926311097341,0.415364417060393,0.9469906193359997,-0.4990009995001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,86.0,2.0,57.0,1174.0,0.1,2.4999999999999987,0.0,0.0,286.5985789299011,,,,,,,,,,,,,,,,,,,,,1.0877646855375336,0.9044014495316393,2.442880731506642,-0.4486538919103421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,130.0,3.0,44.0,1218.0,0.1,1.0999999999999988,0.0,0.0,291.1580877304077,,,,,,,,,,,,,,,,,,,,,0.27635694750715495,0.4624897953553392,1.1912104532292227,-0.45088314015099695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,206.0,4.0,76.0,1294.0,0.1,5.55,0.0,0.0,299.2085852622986,,,,,,,,,,,,,,,,,,,,,3.35576018023693,1.5001373691528699,5.3055680568476316,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,273.0,5.0,67.0,1361.0,0.1,1.4999999999999996,0.0,0.0,306.1761803627014,,,,,,,,,,,,,,,,,,,,,1.3919729659568765,0.3592517851886919,1.9978704870486237,0.24964999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,296.0,6.0,23.0,1384.0,0.1,2.3,0.0,0.0,308.825918674469,,,,,,,,,,,,,,,,,,,,,1.0090564304500507,0.7734922866455253,2.2813521249975186,-0.2997001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,336.0,7.0,40.0,1424.0,0.1,1.0499999999999998,0.0,0.0,313.06414771080017,,,,,,,,,,,,,,,,,,,,,0.6422916319096494,0.32930184982999006,1.289383892222089,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,364.0,8.0,28.0,1452.0,0.1,2.2499999999999996,0.0,0.0,316.11404633522034,,,,,,,,,,,,,,,,,,,,,1.259540122958084,0.8902024677271747,2.423914400265066,-0.19990000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,392.0,9.0,28.0,1480.0,0.1,2.249999999999999,0.0,0.0,319.60267090797424,,,,,,,,,,,,,,,,,,,,,0.6705282741859381,0.6802814995886732,2.235694361351134,-0.05079830129965002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
